REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.095	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.085	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.087	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.083	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.095	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.103	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.103	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.098	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.092	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.093	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.098	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.086	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.090	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.090	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.082	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.112	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.129	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.128	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.121	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.124	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.121	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 2.623	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 2.730	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 2.907	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.037	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.105	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.254	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.286	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.315	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.418	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.474	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.597	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.613	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.699	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.732	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.765	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.772	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.817	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.839	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.901	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.911	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.907	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.955	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 3.992	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.014	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.077	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.084	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.133	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.164	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.136	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.199	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.183	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.185	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.223	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.258	 16000	wb
